Nombre de lignes,Temps d'exécution,Consommation mémoire
5473,16865.0,3228237.0
13309,34226.0,8525480.0
722,3385.0,7657709.0
3756,9788.0,3221626.0
35303,65927.0,4502831.0
21387,48742.0,9366148.0
14911,38071.0,7937609.0
20781,48413.0,5506238.0
33658,82470.0,4670467.0
5647,9672.0,9030648.0
8054,22307.0,9366541.0
6987,15713.0,5307994.0
9115,23308.0,9861271.0
12306,28220.0,7771364.0
8906,21523.0,1.0199833E7
1223,4121.0,1.0134638E7
14083,37763.0,7934971.0
4096,12652.0,9844576.0
9104,24507.0,2740325.0
5551,9186.0,9201426.0
9106,19693.0,3411127.0
22316,56251.0,3745628.0
23001,53518.0,9034201.0
15851,40981.0,7940118.0
22848,47580.0,9032347.0
44392,101403.0,3244600.0
7077,19803.0,9034852.0
7097,20366.0,4673577.0
17598,49498.0,6343326.0
1510,5834.0,1.2221299E7
2935,8662.0,3925520.0
20040,56770.0,3412421.0
2268,7930.0,9036346.0
6782,15162.0,3747063.0
35665,84172.0,7607388.0
16279,44035.0,3914761.0
8541,20795.0,3077534.0
12348,29682.0,9203699.0
7742,21555.0,4266200.0
4268,8180.0,2726813.0
16284,36576.0,9705642.0
