Nombre de lignes,Temps d'exécution,Consommation mémoire
5473,14265.0,492960.0
13309,31058.0,1422824.0
196390,234999.0,5562960.0
722,3178.0,204024.0
3756,9173.0,625656.0
35303,64310.0,4613672.0
14911,33468.0,1829112.0
33658,78329.0,4822576.0
5647,9027.0,626848.0
9115,22044.0,1205144.0
8906,20385.0,1253600.0
1223,3908.0,208376.0
14083,36277.0,1589160.0
9104,23643.0,1252928.0
5551,9980.0,626688.0
9106,19209.0,1253464.0
22316,56262.0,3071920.0
23001,52103.0,2303936.0
15851,39064.0,2086824.0
22848,45598.0,2086928.0
44392,95407.0,4185928.0
7077,19120.0,1044712.0
17598,47921.0,2307968.0
2935,8214.0,593840.0
20040,54645.0,2511520.0
2268,7875.0,415432.0
6782,15056.0,1044504.0
35665,81211.0,3609072.0
16279,41556.0,1983856.0
8541,18995.0,1253456.0
7742,20653.0,982392.0
4268,7854.0,413664.0
